train_number,train_name,station_code,station_name,arrival,departure,day,id
12071,Mumbai Aurangabad Jan Shatabdi,CSTM,MUMBAI CST,None,13:50:00,1,236156
11067,MUMBAI LTT - FAIZABAD Saket Exp,LTT,LOKMANYA TILAK TERM,None,05:20:00,1,521006
16381,Mumbai CST - Kanyakumari Express,CSTM,MUMBAI CST,None,15:45:00,1,307341
12989,Dadar Ajmer Superfast Express,DDR,MUMBAI DADAR WEST,None,14:35:00,1,334002
19143,Lokshakti Express,BDTS,MUMBAI BANDRA TERMINUS,None,19:40:00,1,310259
12951,Mumbai Central-New Delhi Rajdhani Express,BCT,Mumbai Central,None,16:40:00,1,269390
19039,Awadh Express,BDTS,MUMBAI BANDRA TERMINUS,None,22:40:00,1,285197
15102,Mumbai CST Chhapra Jansadharan Express,CSTM,MUMBAI CST,None,15:35:00,1,365598
19037,Awadh Express,BDTS,MUMBAI BANDRA TERMINUS,None,22:40:00,1,299497
12519,MUMBAI LTT - KAMAKHYA AC Exp,LTT,LOKMANYA TILAK TERM,None,None,,474360
12925,Paschim Express,BDTS,MUMBAI BANDRA TERMINUS,None,11:35:00,1,362649
19049,MUMBAI BANDRA T - PATNA Exp,BDTS,MUMBAI BANDRA TERMINUS,None,15:45:00,1,500415
11055,MUMBAI LTT - GORAKHPUR Exp,LTT,LOKMANYA TILAK TERM,None,10:55:00,1,517229
18029,MUMBAI LTT [Kurla] - KOLKATA SALIMAR Exp,LTT,LOKMANYA TILAK TERM,None,21:50:00,1,548858
12161,Lashkar Superfast Express,LTT,LOKMANYA TILAK TERM,None,16:25:00,1,339928
59039,Virar Valsad Shuttle,VR,VIRAR,None,11:30:00,1,294703
11093,MUMBAI CST - VARANASI Mahanagari Exp,CSTM,MUMBAI CST,None,00:10:00,1,534027
59047,Virar Surat Passenger,VR,VIRAR,None,07:40:00,1,73314
11071,Kamayani Express,LTT,LOKMANYA TILAK TERM,None,12:40:00,1,308861
05649,Mumbai LTT - Kamakhya (Weekly) Special,LTT,LOKMANYA TILAK TERM,None,15:50:00,1,3136
12490,Dadar - Bikaner Express,DDR,MUMBAI DADAR WEST,None,14:35:00,1,129878
12137,Punjab Mail,CSTM,MUMBAI CST,None,19:40:00,1,314058
12115,Siddheshwar Express,CSTM,MUMBAI CST,None,22:42:00,1,112577
16331,MUMBAI CST - TRIVANDRUM Exp,CSTM,MUMBAI CST,None,12:05:00,1,551006
11007,Deccan Express,CSTM,MUMBAI CST,None,07:10:00,1,267290
12131,Mumbai Dadar-Sainagar Shirdi Express,DR,MUMBAI DADAR CENTRAL,None,21:45:00,1,367116
11057-Slip,Dadar Amritsar Express Slip,DR,MUMBAI DADAR CENTRAL,None,23:45:00,1,399284
11011,Mahalaxmi Express,CSTM,MUMBAI CST,None,20:23:00,1,343621
12219,Lokmanya Tilak (T)-Secunderabad AC Duronto Express,LTT,LOKMANYA TILAK TERM,None,23:05:00,1,380215
16339,MUMBAI CST - NAGERCOIL Exp,CSTM,MUMBAI CST,None,12:05:00,1,547026
12961,Avantika Express,BCT,Mumbai Central,None,19:05:00,1,146971
59045,Vapi Passenger,BDTS,MUMBAI BANDRA TERMINUS,None,09:25:00,1,115062
12289,Mumbai CSTM-Nagpur Duronto Express,CSTM,MUMBAI CST,None,20:15:00,1,26437
15017,MUMBAI LTT - GORAKHPUR Kashi Exp,LTT,LOKMANYA TILAK TERM,None,06:35:00,1,559797
12216,Mumbai Bandra T. - Delhi Sarai Rohilla Garib Rath,BDTS,MUMBAI BANDRA TERMINUS,None,12:55:00,1,76116
11069,Tulsi Express,LTT,LOKMANYA TILAK TERM,None,05:20:00,1,89767
19011,Gujarat Express,BCT,Mumbai Central,None,05:45:00,1,351924
59439,Ahmadabad Passenger,BCT,Mumbai Central,None,12:15:00,1,294604
11057,Dadar Amritsar Express,DR,MUMBAI DADAR CENTRAL,None,23:45:00,1,345084
11023,Sahyadri Express,CSTM,MUMBAI CST,None,17:50:00,1,333907
11401,Nandigram Express,CSTM,MUMBAI CST,None,16:35:00,1,141409
